Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
"Biverah Hotel and Suites, 4-star hotels in Trivandrum, Medical college, kims hospital, hotels in trivandrum, budget hotel",3.8,trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,2500.0
Montecello Home Stay,3.2,trivandrum,Free Wi-Fi,Paid parking,Pet-friendly,Beach access,Kitchen,Full-service laundry,Kid-friendly,0,0,7400.0
HOTEL HIGHLAND,4.0,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4400.0
Ariya Nivaas - A Vegetarian Hotel,4.2,trivandrum,2-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Accessible,Kid-friendly,2700.0
PLANET RESIDENCY,4.5,trivandrum,Free Wi-Fi,Paid parking,Air conditioning,Breakfast,Kitchen,0,0,0,0,4600.0
Saras Park Inn,3.4,trivandrum,2-star hotel,Air conditioning,Kitchen,Full-service laundry,Kid-friendly,0,0,0,0,8800.0
Stayzone Royal INN,3.7,trivandrum,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,5700.0
Hotel Prathiba Heritage,3.7,trivandrum,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,Smoke-free,0,0,6000.0
Adara Residency,4.3,trivandrum,0,0,0,0,0,0,0,0,0,8100.0
Hotel Venkateswara,3.7,trivandrum,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,8500.0
Hilton Garden Inn Trivandrum,4.3,trivandrum,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,4700.0
KTDC Grand Chaithram,4.1,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,8400.0
Majestic Lodge,4.1,trivandrum,Free breakfast,Free Wi-Fi,Paid parking,Kitchen,0,0,0,0,0,8400.0
Safire Residency,4.0,trivandrum,3-star hotel,Wi-Fi,Air conditioning,Pet-friendly,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,2100.0
Hotel Sunday - Townhouse Club - Near Airport - Trivandrum,3.7,trivandrum,Breakfast,Free Wi-Fi,Free parking,Kitchen,Airport shuttle,Full-service laundry,0,0,0,6500.0
Meghna Residency,3.6,trivandrum,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Airport shuttle,Full-service laundry,Accessible,7700.0
The South Gate By WB Hotels,3.9,trivandrum,Free breakfast,Free Wi-Fi,Air conditioning,Room service,Full-service laundry,Kid-friendly,0,0,0,9200.0
Anies Garden | Rooms in a Homestay,4.3,trivandrum,Sleeps 5,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,2200.0
Treebo Trend Goodland Residency,4.1,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,7900.0
Windsor Rajadhani,4.1,trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5200.0
Backwater Ripples,4.4,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,5500.0
Lakesong Resort,4.2,kumarakom,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,5900.0
Abad Whispering Palms | Resort in Kumarakom,4.3,kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,5400.0
Cocobay Resort,4.2,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,5100.0
Paradise Resorts Kumarakom,4.1,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Airport shuttle,2400.0
"The Zuri Kumarakom, Kerala Resort & Spa",4.3,kumarakom,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9800.0
Saro Lake County,4.0,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Airport shuttle,4000.0
Kumarakom Heritage Resort & Ayurveda,4.1,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Bar,Restaurant,3700.0
Rhythm Kumarakom,4.5,kumarakom,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,9300.0
Manor Backwater Resort,3.8,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,9300.0
ILLIKKALAM Lakeside Cottages,4.1,kumarakom,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,5400.0
KTDC Waterscapes,4.5,kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3400.0
Backwater Brook,4.7,kumarakom,Free breakfast,Free Wi-Fi,Pool,Restaurant,Kitchen,Full-service laundry,Kid-friendly,0,0,2700.0
Gokulam Grand Resort and Spa Kumarakom,4.7,kumarakom,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,Room service,3100.0
Backwater Ripples,4.4,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,9500.0
Lily Pad on the Vembanad,4.2,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Spa,Restaurant,Room service,4600.0
Kumarakom Lake Resort,4.8,kumarakom,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,8100.0
Renai Green Fields,3.8,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,2200.0
Kumarakom Park Resort,4.3,kumarakom,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,4200.0
Meenakshi River Villa | Rooms & Wi-Fi,4.5,kumarakom,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,9000.0
Kumarakom Wood Castle,4.4,kumarakom,Sleeps 3,1 bedroom,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,8700.0
Abad Whispering Palms | Resort in Kumarakom,4.3,kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,2200.0
ILLIKKALAM Lakeside Cottages,4.1,kumarakom,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,2900.0
Treebo Trend Kuval Inn,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Full-service laundry,Kid-friendly,0,0,4200.0
Hotel Corporate Stay,4.0,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,8500.0
Jugglers Backpack,4.7,pune,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Business center,3400.0
Hyatt Pune,4.4,pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,2800.0
"The Central Park Hotel, Pune",4.1,pune,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6700.0
"Four Points by Sheraton Hotel & Serviced Apartments, Pune",4.3,pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4500.0
Hotel Phoenix,4.0,pune,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,6500.0
Hotel anvisha executive,4.4,pune,0,0,0,0,0,0,0,0,0,5600.0
EMA Family Rooms,3.8,pune,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,No crib,9600.0
JM Four Hotel,3.9,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4000.0
Royal Orchid Central Pune,4.3,pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,7300.0
"StayBird - B Suite, Business Hotel",4.0,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2200.0
Hotel Sardar,3.5,pune,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,8400.0
Sunny's World,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible,4600.0
Procida Hostel by Zero Jhanjhat,4.4,pune,Breakfast,Free Wi-Fi,Pool,Restaurant,Full-service laundry,0,0,0,0,2200.0
The Oakwood,4.0,pune,4-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,9600.0
Sheraton Grand Pune Bund Garden Hotel,4.5,pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7000.0
Pratikruti The Lakeview Resort,4.2,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,6200.0
Hotel Centro,4.4,pune,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Kid-friendly,6200.0
St Laurn Hotel,3.9,pune,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,6500.0
Cherry Tree | Rooms & Wi-Fi,3.6,pune,Sleeps 3,1 bedroom,Air conditioning,Fireplace,Free parking,Free Wi-Fi,No crib,No elevator,No fitness center,2800.0
Fairfield by Marriott Pune Kharadi,4.3,pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3600.0
Sunny's World,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible,4400.0
Novotel Chennai Sipcot,4.7,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,8800.0
Park Plaza Chennai OMR,4.1,chennai,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,9500.0
Avenue 11 Boutique Residences | Rooms & Caretaker,4.0,chennai,Sleeps 8,3 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,8100.0
"Olive Inn Luxurious 4-BHK Villa with Indoor Swimming Pool, Wifi, BBQ",3.4,chennai,Villa,Sleeps 10,4 bedrooms,7 bathrooms,Air conditioning,Pool,Kitchen,Smoke-free,Free parking,3400.0
Juhu Beach House ECR,4.5,chennai,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Kitchen,Full-service laundry,0,0,9900.0
Umino Beach Resort Banquet Hall and Restaurant,4.3,chennai,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry,6700.0
VGP Golden Beach Resort,3.9,chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Beach access,4700.0
"Regenta Central RS, Chennai(OMR). 4 Star Hotel",4.2,chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,6800.0
Turyaa Chennai,4.3,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,8800.0
Blue Lagoon Beach Resort,3.9,chennai,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,8600.0
Fairfield by Marriott Chennai OMR,4.2,chennai,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3400.0
Four Points by Sheraton Chennai OMR,4.2,chennai,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,5800.0
"Taj Club House, Chennai",4.4,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,4800.0
"Vivanta Chennai, IT Expressway",4.3,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,2700.0
Ilara Hotels & Spa,4.6,chennai,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service,8200.0
Maroma Suites,4.5,chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,6200.0
The Madras Grand - Hotel Egmore,4.5,chennai,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Full-service laundry,6000.0
"Holiday Inn Express Chennai Omr Thoraipakkam, an IHG Hotel",4.1,chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,2400.0
"Crowne Plaza New Delhi Rohini, an IHG Hotel",4.4,delhi,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9000.0
ट्राइडेंट होटल,4.6,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,3500.0
Nu Delhi Homestay - Deluxe Double Room,4.6,delhi,House,Sleeps 2,1 bedroom,1 bathroom,2 beds,Air conditioning,Crib,Fitness center,Heating,4700.0
The Leela Ambience Convention Hotel Delhi,4.5,delhi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7500.0
Hotel City Park- Hotels in Delhi,4.2,delhi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6000.0
Hotel Mayda Residency By Mayda Hospitality Pvt. Ltd.,4.6,delhi,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,2800.0
JRD Pride,4.4,delhi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,6300.0
Radisson Blu Hotel New Delhi Paschim Vihar,4.4,delhi,5-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,9700.0
IIDL Suites,4.3,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,2800.0
Park Inn by Radisson New Delhi IP Extension,4.3,delhi,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3700.0
IIDL Suites,3.8,delhi,Apartment,Sleeps 10,Air conditioning,Airport shuttle,Elevator,Fireplace,Fitness center,Hot tub,Kitchen,9700.0
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3200.0
Sarovar Portico Naraina,3.9,delhi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,5000.0
Hyatt Centric Janakpuri New Delhi,3.8,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,8800.0
"Taj Palace, New Delhi",4.7,delhi,5-star hotel,Breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,2300.0
The Pamposh,3.7,delhi,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Full-service laundry,Business center,Kid-friendly,0,6000.0
Caves by Craftels,4.7,delhi,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Restaurant,Room service,6700.0
Bloomrooms @ Janpath,4.4,delhi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Full-service laundry,7100.0
Ramada by Wyndham New Delhi Pitampura,3.9,delhi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Accessible,5500.0
Bloom Boutique | GK-1,4.2,delhi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,4200.0
The Grand Parisian,4.2,delhi,3-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,7600.0
amigosindia,4.5,delhi,1-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Pet-friendly,Restaurant,Kitchen,Airport shuttle,6800.0
Holiday Inn Express New Delhi Int'l Airport T3,4.2,delhi,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Fitness center,Spa,Paid parking,Bar,Restaurant,4500.0
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,5200.0
Treebo Trend Lazystay Grand - Hotel in Bhubaneswar,4.1,bhubaneswar,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,3700.0
"MAYFAIR Convention, Bhubaneswar",4.5,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,8000.0
Hello Stay Hotel Bhubaneswar,4.2,bhubaneswar,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,9500.0
Hotel SJ Pride,4.8,bhubaneswar,2-star hotel,Free Wi-Fi,Pool,Restaurant,Kitchen,Airport shuttle,Full-service laundry,0,0,9300.0
Empires Hotel Bhubaneswar,4.1,bhubaneswar,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,3400.0
"MAYFAIR Convention, Bhubaneswar",4.5,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,6300.0
"Mango Hotels–Prangan, Bhubaneswar",4.1,bhubaneswar,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,5300.0
Mayfair Lagoon,4.6,bhubaneswar,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6900.0
Venus Inn Restaurant,4.1,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,7100.0
Ginger Bhubaneshwar,3.9,bhubaneswar,2-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0,3900.0
THE GREENSTAR INN PREMIUM,4.6,bhubaneswar,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,0,2900.0
IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),4.1,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,2000.0
Swosti Premium - Luxury 5-Star Hotel in Bhubaneswar,4.3,bhubaneswar,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3400.0
"Vivanta Bhubaneswar, DN Square",4.6,bhubaneswar,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,6200.0
"Welcomhotel By ITC Hotels, Bhubaneswar-LEED Platinum Certified Premium Hotel Near the Airport| 1.5 hrs away from Puri",4.7,bhubaneswar,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,2800.0
Hotel Excellency (A Unit of Excellency Resorts Pvt. Ltd.),4.1,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,8400.0
Super OYO Townhouse 235 Swain Heritage,4.4,bhubaneswar,Apartment,Sleeps 4,2 bedrooms,Air conditioning,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator,2500.0
Treebo Trend Oasis,4.2,bhubaneswar,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,3200.0
IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),4.1,bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,9600.0
The Westin Goa,4.6,goa,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,8000.0
The LaLiT Golf & Spa Resort Goa,4.4,goa,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9300.0
Casa Seaesta Beach Cottages and Suites,3.6,goa,Sleeps 6,2 bedrooms,Air conditioning,Airport shuttle,Pool,Smoke-free,Free parking,Free Wi-Fi,No beach access,6400.0
Radisson Resort Goa Baga,4.8,goa,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4800.0
W Goa,4.5,goa,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,4500.0
"The Hosteller Goa, Arpora",4.3,goa,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,0,0,0,2700.0
Grand Hyatt Goa,4.6,goa,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5100.0
Little India Beach Cottages,4.0,goa,House,Sleeps 10,5 bedrooms,5 bathrooms,Air conditioning,Pool,Free parking,Free Wi-Fi,No airport shuttle,9200.0
"Holiday Inn Resort Goa, an IHG Hotel",4.6,goa,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Beach access,7500.0
Agonda Paradise Beach Huts,4.2,goa,Sleeps 9,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No beach access,No crib,6500.0
